value,score,term,model
35,2.132725,age,3y
36,2.19366,age,3y
37,2.254595,age,3y
38,2.31553,age,3y
39,2.376465,age,3y
40,2.4374,age,3y
41,2.498335,age,3y
42,2.55927,age,3y
43,2.620205,age,3y
44,2.68114,age,3y
45,2.742075,age,3y
46,2.80301,age,3y
47,2.863945,age,3y
48,2.92488,age,3y
49,2.985815,age,3y
50,3.04675,age,3y
51,3.107685,age,3y
52,3.16862,age,3y
53,3.229555,age,3y
54,3.29049,age,3y
55,3.351425,age,3y
56,3.41236,age,3y
57,3.473295,age,3y
58,3.53423,age,3y
59,3.595165,age,3y
60,3.6561,age,3y
61,3.717035,age,3y
62,3.77797,age,3y
63,3.838905,age,3y
64,3.89984,age,3y
65,3.960775,age,3y
66,4.02171,age,3y
67,4.082645,age,3y
68,4.14358,age,3y
69,4.204515,age,3y
70,4.26545,age,3y
71,4.326385,age,3y
72,4.38732,age,3y
73,4.448255,age,3y
74,4.50919,age,3y
75,4.570125,age,3y
76,4.63106,age,3y
77,4.691995,age,3y
78,4.75293,age,3y
79,4.813865,age,3y
80,4.8748,age,3y
81,4.935735,age,3y
82,4.99667,age,3y
83,5.057605,age,3y
84,5.11854,age,3y
85,5.179475,age,3y
86,5.24041,age,3y
87,5.301345,age,3y
88,5.36228,age,3y
89,5.423215,age,3y
90,5.48415,age,3y
91,5.545085,age,3y
92,5.60602,age,3y
93,5.666955,age,3y
94,5.72789,age,3y
95,5.788825,age,3y
96,5.84976,age,3y
97,5.910695,age,3y
98,5.97163,age,3y
99,6.032565,age,3y
100,6.0935,age,3y
49,-0.0889187,pulse,3y
59.5,-0.0910469,pulse,3y
74.5,0.2343003,pulse,3y
84.5,0.6246916,pulse,3y
94.5,0.8450473,pulse,3y
104.5,0.9101415,pulse,3y
119.5,0.8581709,pulse,3y
139.5,0.7494289,pulse,3y
174.5,0.5591304,pulse,3y
200,0.4204844,pulse,3y
79,3.5872931,sbp,3y
89.5,3.0903948,sbp,3y
104.5,2.6394952,sbp,3y
114.5,2.442021,sbp,3y
124.5,2.2607121,sbp,3y
134.5,2.0407927,sbp,3y
149.5,1.6991854,sbp,3y
169.5,1.5533218,sbp,3y
180,1.5973204,sbp,3y
0.195,0.0768359,creatinine,3y
0.595,0.2344479,creatinine,3y
0.995,0.3920599,creatinine,3y
1.395,0.5496719,creatinine,3y
1.795,0.7072839,creatinine,3y
2.995,1.1801199,creatinine,3y
4.0,1.57612,creatinine,3y
1,0,killip,3y
2,0.08466,killip,3y
3,0.82842,killip,3y
4,0.82842,killip,3y
0,0,arrest,3y
1,1.07623,arrest,3y
0,0,enzymes,3y
1,0,enzymes,3y
0,0,stemi,3y
1,0.41228,stemi,3y
